Equipo,Jugador,Lesion
Alavés,Sedlar,Rotura del ligamento cruzado con rotura parcial del menisco interno
Almería,Ibrahima Koné,Fractura en el tobillo derecho
Almería,Suárez,Lesión en el peroné
Athletic,Sancet,Baja en el entrenamiento
Athletic,Ander Herrera,Lesión muscular moderada en la musculatura isquiosural
Athletic,Yuri,Lesión muscular en la musculatura isquiosural de su pierna derecha
Atlético,Giménez,Lesión miofascial en el muslo derecho
Atlético,Lemar,Rotura del tendón de Aquiles derecho
Barcelona,Ferran Torres,Lesión en el bíceps femoral del muslo derecho
Barcelona,De Jong,Esguince en el ligamento lateral externo del tobillo derecho
Barcelona,Gavi,Rotura completa del ligamento cruzado anterior de la rodilla derecha y lesión asociada al menisco externo
Barcelona,Balde,Lesión en el tendón del isquiotibial del muslo derecho
Barcelona,Pedri,Lesión en el recto femoral del muslo derecho
Betis,Sabaly,Molestias musculares
Betis,Bellerín,Lesión muscular
Betis,Bartra,lesión parcial en el tendón de Aquiles
Betis,Bakambu,Pinchazo en el gemelo
Betis,Marc Roca,Molestias en el tobillo
Cádiz CF,Roger,Fractura en el peroné y afectación de los ligamentos internos del tobillo
Cádiz CF,San Emeterio,Rotura del ligamento cruzado
Cádiz CF,Luis Hernández,Lesión en la rodilla
Celta,Ristic,Rotura fibrilar grado I en el bíceps femoral izquierdo
Celta,Swedberg,Esguince en el tobillo derecho
Celta,Dotor,Cirugía pubalgia
Celta,Aidoo,Rotura del tendón de Aquiles izquierdo
Celta,Tapia,Rotura fibrilar de grado I en el recto anterior del muslo derecho
Getafe,Mayoral,Rotura en el menisco
Getafe,Arambarri,Rotura parcial del menisco externo y ligamento cruzado anterior
Girona,Borja García,Lesión en el aductor izquierdo.
Girona,David López,Molestias musculares en el cuádriceps
Girona,Tsygankov,Esguince grado 1 del ligamento lateral interno de la rodilla derecha
Girona,Joel Roca,Rotura de ligamentro cruzado y menisco
Girona,Yangel Herrera,Lesión en el sóleo de la pierna derecha.
Girona,Toni Villa,Lesión de ligamento cruzado anterior
Granada,Jesús Vallejo,Lesión sin determinar
Las Palmas,Eric Curbelo,Recuperación de lesión
Las Palmas,Cristian Herrera,Apendicitis aguda
Las Palmas,Sinkgraven,Edema óseo en su rodilla derecha
Mallorca,Valjent,Lesión muscular
Osasuna,Kike Barja,Lesión en el ligamento cruzado anterior
Osasuna,David García,Lesión muscular en el bíceps femoral
Osasuna,Aimar Oroz,Lesión muscular en el recto anterior de su pierna izquierda
Osasuna,Rubén Peña,Lesión en el recto anterior del cuádriceps izquierdo
Rayo Vallecano,Álvaro García,Molestias en la cadera
Real Madrid,Ceballos,Sobrecarga en el gemelo
Real Madrid,Courtois,Rotura del ligamento cruzado anterior de la rodilla izquierda
Real Madrid,Militão,Rotura del ligamento cruzado de la rodilla derecha
Real Madrid,David Alaba,Rotura del ligamento cruzado anterior de la rodilla izquierda
Real Sociedad,Aihen,Rotura de ligamento cruzado anterior
Real Sociedad,Carlos Fernández,Lesión meniscal en la rodilla derecha
Real Sociedad,Merquelanz,Lesión osteocondral de la rodilla izquierda
Real Sociedad,Odriozola,Lesión del ligamento colateral lateral de la rodilla derecha
Real Sociedad,Barrenetxea,Lumbalgia
Sevilla,En-Nesyri,Contusión en el tobillo derecho
Sevilla,Jordán,Lesión miofascial en el bíceps femoral
Sevilla,Agoumé,Rotura muscular pierna izquierda
Sevilla,Mariano,Problemas físicos
Sevilla,Juanlu,Elongación del isquiotibial izquierdo
Sevilla,Badé,Lesión miotendinosa en el sóleo izquierdo
Valencia,Diakhaby,Dislocación de rodilla
Villarreal,Reina,Molestias en el sóleo de la pierna derecha
Villarreal,Eric Bailly,Molestias musculares
Villarreal,Pedraza,Esguince del tobillo derecho asociado a daño condral en articulación tibioastragalina
Villarreal,Terrats,Rotura en el menisco exterior
Villarreal,Albiol,Daño muscular en el sóleo izquierdo
Villarreal,Foyth,Intervención quirúrgica en el hombro derecho
Villarreal,Denis Suárez,Rotura muscular con afectación del recto femoral de la pierna izquierda.
Villarreal,Yéremy Pino,Rotura del ligamento cruzado anterior
